Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
2024.05.14,21:00:00,2355.87,2359.58,2355.77,2357.65,3681,0,10
2024.05.14,22:00:00,2357.65,2357.97,2355.01,2356.55,3321,0,10
2024.05.14,23:00:00,2356.60,2358.04,2356.07,2357.66,877,0,10
2024.05.15,01:00:00,2357.26,2357.63,2356.29,2357.56,814,0,16
2024.05.15,02:00:00,2357.54,2357.54,2355.07,2355.79,1797,0,14
2024.05.15,03:00:00,2355.80,2356.86,2354.87,2355.82,3814,0,13
2024.05.15,04:00:00,2355.83,2358.96,2354.87,2357.41,7365,0,14
2024.05.15,05:00:00,2357.44,2359.07,2356.61,2358.62,4352,0,11
2024.05.15,06:00:00,2358.62,2360.96,2357.67,2360.28,3743,0,11
2024.05.15,07:00:00,2360.32,2360.81,2356.16,2356.96,3598,0,12
2024.05.15,08:00:00,2356.96,2359.01,2355.70,2358.51,4005,0,11
2024.05.15,09:00:00,2358.46,2359.67,2356.83,2358.78,6298,0,9
2024.05.15,10:00:00,2358.79,2364.89,2358.49,2362.51,6379,0,9
2024.05.15,11:00:00,2362.48,2374.25,2362.46,2373.21,7207,0,9
2024.05.15,12:00:00,2373.26,2374.31,2368.25,2369.29,6196,0,9
2024.05.15,13:00:00,2369.29,2370.87,2365.28,2365.91,4734,0,9
2024.05.15,14:00:00,2365.92,2366.76,2362.06,2362.74,5850,0,9
2024.05.15,15:00:00,2362.73,2378.91,2358.92,2372.58,13422,0,9
2024.05.15,16:00:00,2372.54,2375.48,2351.85,2358.07,15299,0,13
2024.05.15,17:00:00,2358.07,2373.80,2353.78,2373.76,13761,0,9
2024.05.15,18:00:00,2373.77,2385.71,2373.06,2377.61,13191,0,9
2024.05.15,19:00:00,2377.61,2386.65,2377.05,2383.64,9590,0,10
2024.05.15,20:00:00,2383.63,2390.23,2383.63,2389.24,7610,0,10
2024.05.15,21:00:00,2389.25,2389.38,2383.61,2385.41,5403,0,10
2024.05.15,22:00:00,2385.40,2387.44,2383.77,2386.37,4394,0,10
2024.05.15,23:00:00,2386.37,2388.35,2386.25,2386.94,1709,0,10
2024.05.16,01:00:00,2387.67,2389.49,2387.06,2389.14,1748,0,16
2024.05.16,02:00:00,2389.10,2391.86,2388.86,2391.84,3084,0,13
2024.05.16,03:00:00,2391.86,2395.14,2390.27,2395.00,6777,0,11
2024.05.16,04:00:00,2394.99,2397.26,2389.58,2391.55,11810,0,13
2024.05.16,05:00:00,2391.56,2391.78,2386.34,2387.48,8806,0,11
2024.05.16,06:00:00,2387.47,2390.72,2386.55,2388.70,6531,0,11
2024.05.16,07:00:00,2388.70,2392.15,2387.04,2391.29,4503,0,13
2024.05.16,08:00:00,2391.29,2394.40,2390.14,2390.14,6002,0,11
2024.05.16,09:00:00,2390.21,2390.38,2386.49,2387.03,7263,0,9
2024.05.16,10:00:00,2387.05,2391.14,2384.75,2389.32,7385,0,9
