Gmt time,Open,High,Low,Close,Volume
22.02.2021 19:00:00.000,10.31684,10.31758,10.31186,10.31258,3995.1799
22.02.2021 20:00:00.000,10.31258,10.33010,10.31258,10.32464,7401.27
22.02.2021 21:00:00.000,10.32474,10.32918,10.30073,10.30904,6183
22.02.2021 22:00:00.000,10.31044,10.32217,10.31043,10.31889,272.27
22.02.2021 23:00:00.000,10.32054,10.32456,10.31551,10.32261,6701.75
23.02.2021 00:00:00.000,10.32249,10.33344,10.31796,10.31921,6990.3501
23.02.2021 01:00:00.000,10.31921,10.32707,10.28935,10.29242,8141.27
23.02.2021 02:00:00.000,10.29242,10.30498,10.28414,10.29441,7582.6899
23.02.2021 03:00:00.000,10.29441,10.30216,10.29432,10.30072,1904.83
23.02.2021 04:00:00.000,10.30079,10.30079,10.29242,10.29387,4503.1001
23.02.2021 05:00:00.000,10.29388,10.29949,10.29179,10.29233,8902.7402
23.02.2021 06:00:00.000,10.29244,10.30429,10.28795,10.30239,4158.4702
23.02.2021 07:00:00.000,10.30250,10.30663,10.28044,10.28944,4523.5498
23.02.2021 08:00:00.000,10.28898,10.32388,10.28422,10.30447,5471.48
23.02.2021 09:00:00.000,10.30446,10.32558,10.30433,10.31708,5077.0601
23.02.2021 10:00:00.000,10.31708,10.34921,10.31233,10.34210,5932.6499
23.02.2021 11:00:00.000,10.34210,10.35424,10.32005,10.32324,4598.1099
23.02.2021 12:00:00.000,10.32324,10.32677,10.30732,10.31232,3037.6699
23.02.2021 13:00:00.000,10.31230,10.32066,10.29653,10.29890,6293.1001
23.02.2021 14:00:00.000,10.29882,10.35855,10.28884,10.35106,8524.9404
23.02.2021 15:00:00.000,10.35106,10.35720,10.30550,10.31373,10055.7598
23.02.2021 16:00:00.000,10.31355,10.31916,10.30023,10.30954,5513.9102
23.02.2021 17:00:00.000,10.30964,10.32346,10.30499,10.32270,4505.8301
23.02.2021 18:00:00.000,10.32257,10.32284,10.30494,10.30913,4095.1299
23.02.2021 19:00:00.000,10.30932,10.30998,10.29195,10.29941,4148.6602
23.02.2021 20:00:00.000,10.29941,10.29963,10.28208,10.28564,3833.1001
23.02.2021 21:00:00.000,10.28557,10.29126,10.27614,10.28464,4181.25
23.02.2021 22:00:00.000,10.28114,10.28844,10.27144,10.28650,189.9
23.02.2021 23:00:00.000,10.28644,10.29764,10.28570,10.28810,16855.8691
24.02.2021 00:00:00.000,10.28791,10.29745,10.28681,10.28995,4582.4902
